ParticipantID,SceneName,D0_Dis,D0_Den,D1_Dis,D1_Den,Dis(comparison),Den(comparison),Position,SelectedDoor,ReactTime
10,2Dis_den_5.6_7I4.6_3,5.6,7,4.6,3,2,1,0,1,1.467
10,2Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.605
10,5Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,1.433
10,5Dis_den_V_5.6_7I4.6_3,5.6,7,4.6,3,2,1,1,1,1.426
10,3Dis_den_V_4.6_3I6_3,4.6,3,6,3,7,2,1,0,1.297
10,5Dis_den_6_3I6_7,6,3,6,7,4,3,0,0,1.779
10,Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,1.725
10,Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.401
10,4Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,0,1.596
10,5Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,0,1.265
10,4Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.61
10,5Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,1,1.438
10,Dis_den_V_4.6_7I6_7,4.6,7,6,7,7,2,1,0,1.689
10,2Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,1.322
10,Dis_den_V_4.6_7I5.6_3,4.6,7,5.6,3,6,1,1,1,1.887
10,Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.319
10,5Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,0,1.01
10,4Dis_den_V_6_7I5.6_3,6,7,5.6,3,3,1,1,1,1.094
10,5Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,1.601
10,3Dis_den_4.6_7I6_3,4.6,7,6,3,7,1,0,1,1.981
10,5Dis_den_V_5.6_7I6_7,5.6,7,6,7,5,2,1,0,1.705
10,4Dis_den_V_4.6_7I5.6_7,4.6,7,5.6,7,6,2,1,0,1.574
10,Dis_den_6_7I5.6_3,6,7,5.6,3,3,1,0,1,1.106
10,4Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,0,1.429
10,Dis_den_5.6_7I6_3,5.6,7,6,3,5,1,0,1,1.304
10,Dis_den_5.6_7I5.6_3,5.6,7,5.6,3,4,1,0,1,1.163
10,2Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.362
10,3Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,1,1.486
10,Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,1,1.493
10,2Dis_den_4.6_3I6_3,4.6,3,6,3,7,2,0,1,1.301
10,Dis_den_V_5.6_7I5.6_3,5.6,7,5.6,3,4,1,1,1,1.481
10,5Dis_den_4.6_7I5.6_3,4.6,7,5.6,3,6,1,0,1,1.285
10,4Dis_den_V_6_7I4.6_3,6,7,4.6,3,1,1,1,1,1.528
10,2Dis_den_V_5.6_3I6_3,5.6,3,6,3,5,2,1,1,1.544
10,5Dis_den_V_4.6_3I5.6_3,4.6,3,5.6,3,6,2,1,0,1.374
10,4Dis_den_4.6_7I5.6_7,4.6,7,5.6,7,6,2,0,0,1.976
10,2Dis_den_5.6_3I6_3,5.6,3,6,3,5,2,0,1,1.46
10,3Dis_den_6_7I4.6_3,6,7,4.6,3,1,1,0,1,1.765
10,2Dis_den_4.6_7I6_7,4.6,7,6,7,7,2,0,0,1.93
10,2Dis_den_V_4.6_3I4.6_7,4.6,3,4.6,7,4,3,1,1,1.466
